iso_code,vaccine_name
GTM,Pfizer/BioNTech
GTM,Sputnik V
GGY,Moderna
GGY,Oxford/AstraZeneca
GGY,Pfizer/BioNTech
GIN,Johnson&Johnson
GIN,Oxford/AstraZeneca
GIN,Pfizer/BioNTech
GIN,Sinopharm/Beijing
GIN,Sinovac
GIN,Sputnik V
GNB,Oxford/AstraZeneca
GNB,Sinopharm/Beijing
GUY,Johnson&Johnson
GUY,Moderna
GUY,Oxford/AstraZeneca
GUY,Pfizer/BioNTech
GUY,Sinopharm/Beijing
GUY,Sputnik V
HTI,Johnson&Johnson
HTI,Moderna
HND,Johnson&Johnson
HND,Moderna
HND,Oxford/AstraZeneca
HND,Pfizer/BioNTech
HND,Sputnik V
HKG,Pfizer/BioNTech
HKG,Sinovac
HUN,Johnson&Johnson
HUN,Moderna
HUN,Oxford/AstraZeneca
HUN,Pfizer/BioNTech
HUN,Sinopharm/Beijing
HUN,Sputnik V
ISL,Johnson&Johnson
ISL,Moderna
ISL,Oxford/AstraZeneca
ISL,Pfizer/BioNTech
IND,Corbevax
IND,Covaxin
IND,Novavax
IND,Oxford/AstraZeneca
IND,Sputnik V
IDN,Johnson&Johnson
IDN,Moderna
IDN,Novavax
IDN,Oxford/AstraZeneca
IDN,Pfizer/BioNTech
IDN,Sinopharm/Beijing
IDN,Sinovac
IRN,COVIran Barekat
IRN,CanSino
IRN,Covaxin
IRN,Johnson&Johnson
IRN,Moderna
IRN,Oxford/AstraZeneca
IRN,Pfizer/BioNTech
IRN,Sinopharm/Beijing
IRN,Sinovac
IRN,Soberana02
IRN,Sputnik Light
IRN,Sputnik V
IRQ,CanSino
IRQ,Covaxin
IRQ,Johnson&Johnson
IRQ,Moderna
IRQ,Oxford/AstraZeneca
IRQ,Pfizer/BioNTech
IRQ,Sinopharm/Beijing
IRQ,Sinovac
IRQ,Sputnik Light
IRQ,Sputnik V
IRL,Johnson&Johnson
IRL,Moderna
IRL,Novavax
IRL,Oxford/AstraZeneca
IRL,Pfizer/BioNTech
IMN,Moderna
IMN,Oxford/AstraZeneca
IMN,Pfizer/BioNTech
ISR,Moderna
ISR,Pfizer/BioNTech
ITA,Johnson&Johnson
ITA,Moderna
ITA,Novavax
ITA,Oxford/AstraZeneca
ITA,Pfizer/BioNTech
ITA,Sanofi/GSK
JAM,Johnson&Johnson
JAM,Moderna
JAM,Oxford/AstraZeneca
JAM,Pfizer/BioNTech
JPN,Moderna
JPN,Novavax
JPN,Oxford/AstraZeneca
JPN,Pfizer/BioNTech
JEY,Moderna
JEY,Oxford/AstraZeneca
JEY,Pfizer/BioNTech
JOR,CanSino
JOR,Covaxin
JOR,Johnson&Johnson
JOR,Moderna
JOR,Oxford/AstraZeneca
JOR,Pfizer/BioNTech
JOR,Sinopharm/Beijing
JOR,Sinovac
JOR,Sputnik Light
JOR,Sputnik V
KAZ,Pfizer/BioNTech
KAZ,QazVac
KAZ,Sinopharm/Beijing
KAZ,Sinovac
KAZ,Sputnik V
KEN,Johnson&Johnson
KEN,Moderna
KEN,Oxford/AstraZeneca
KEN,Pfizer/BioNTech
KEN,Sinopharm/Beijing
KIR,Oxford/AstraZeneca
OWID_KOS,Oxford/AstraZeneca
OWID_KOS,Pfizer/BioNTech
KWT,CanSino
KWT,Covaxin
KWT,Johnson&Johnson
KWT,Moderna
KWT,Oxford/AstraZeneca
KWT,Pfizer/BioNTech
KWT,Sinopharm/Beijing
KWT,Sinovac
KWT,Sputnik Light
KWT,Sputnik V
KGZ,Sinopharm/Beijing
KGZ,Sputnik V
LAO,Johnson&Johnson
LAO,Oxford/AstraZeneca
LAO,Pfizer/BioNTech
LAO,Sinopharm/Beijing
LAO,Sinovac
LAO,Sputnik Light
LAO,Sputnik V
LVA,Johnson&Johnson
LVA,Moderna
LVA,Novavax
LVA,Oxford/AstraZeneca
LVA,Pfizer/BioNTech
LBN,CanSino
LBN,Covaxin
LBN,Johnson&Johnson
LBN,Moderna
LBN,Oxford/AstraZeneca
LBN,Pfizer/BioNTech
LBN,Sinopharm/Beijing
LBN,Sinovac
LBN,Sputnik Light
LBN,Sputnik V
LSO,Johnson&Johnson
LSO,Oxford/AstraZeneca
LSO,Sinopharm/Beijing
LBR,Oxford/AstraZeneca
LBY,CanSino
LBY,Covaxin
LBY,Johnson&Johnson
LBY,Moderna
LBY,Oxford/AstraZeneca
LBY,Pfizer/BioNTech
LBY,Sinopharm/Beijing
LBY,Sinovac
LBY,Sputnik Light
LBY,Sputnik V
LIE,Johnson&Johnson
LIE,Moderna
LIE,Novavax
LIE,Pfizer/BioNTech
LTU,Johnson&Johnson
LTU,Moderna
LTU,Novavax
LTU,Oxford/AstraZeneca
LTU,Pfizer/BioNTech
LUX,Johnson&Johnson
LUX,Moderna
LUX,Novavax
LUX,Oxford/AstraZeneca
LUX,Pfizer/BioNTech
MAC,Pfizer/BioNTech
MAC,Sinopharm/Beijing
MDG,Johnson&Johnson
MDG,Oxford/AstraZeneca
MDG,Sinopharm/Beijing
MWI,Johnson&Johnson
MWI,Oxford/AstraZeneca
MYS,CanSino
MYS,Oxford/AstraZeneca
MYS,Pfizer/BioNTech
MYS,Sinopharm/Beijing
MYS,Sinovac
MDV,Johnson&Johnson
MDV,Moderna
MDV,Oxford/AstraZeneca
MDV,Pfizer/BioNTech
MDV,Sinopharm/Beijing
MDV,Sinovac
MDV,Sputnik V
MLI,Oxford/AstraZeneca
MLT,Johnson&Johnson
MLT,Moderna
MLT,Oxford/AstraZeneca
MLT,Pfizer/BioNTech
MRT,Oxford/AstraZeneca
MRT,Sinopharm/Beijing
MUS,Covaxin
MUS,Oxford/AstraZeneca
MUS,Sinopharm/Beijing
MEX,CanSino
MEX,Johnson&Johnson
MEX,Moderna
MEX,Oxford/AstraZeneca
MEX,Pfizer/BioNTech
MEX,Sinovac
MEX,Sputnik V
MDA,Johnson&Johnson
MDA,Moderna
MDA,Oxford/AstraZeneca
MDA,Pfizer/BioNTech
MDA,Sinopharm/Beijing
MDA,Sinovac
MDA,Sputnik V
MCO,Pfizer/BioNTech
MNG,Oxford/AstraZeneca
MNG,Pfizer/BioNTech
MNG,Sinopharm/Beijing
MNG,Sputnik V
MNE,Oxford/AstraZeneca
MNE,Pfizer/BioNTech
MNE,Sinopharm/Beijing
MNE,Sputnik V
MSR,Oxford/AstraZeneca
MAR,CanSino
MAR,Covaxin
MAR,Johnson&Johnson
MAR,Moderna
MAR,Oxford/AstraZeneca
MAR,Pfizer/BioNTech
MAR,Sinopharm/Beijing
MAR,Sinovac
MAR,Sputnik Light
